Species,Length of a leaf(meters),No.of leaflets in a leaf,Ratio(length of leaflet:width of leaflet),Leaf tip angle(degrees)
Macarthuri feather palm tree,1.98,43,6.73,47
Arecanut palm tree,1.86,21,2.36,42.7
Arecanut palm tree,1.77,22,2.37,42.6
Arecanut palm tree,1.74,23,2.38,42.5
Arecanut palm tree,1.39,24,2.39,42.5
Arecanut palm tree,1.93,25,2.4,42.4
Macarthuri feather palm tree,2.47,41,6.87,47.1
Christmas palm tree,2.63,105,1.44,34.6
Arecanut palm tree,1.69,25,2.41,42.3
Arecanut palm tree,1.58,26,2.42,43.2
Macarthuri feather palm tree,2.11,41,6.83,49.2
Arecanut palm tree,1.95,27,2.43,42.2
Macarthuri feather palm tree,2.21,44,6.28,49.3
Christmas palm tree,2.33,106,1.45,34.7
Arecanut palm tree,1.75,21,2.44,42.1
Macarthuri feather palm tree,2.78,41,8,48.4
Arecanut palm tree,1.97,22,2.45,41.1
Arecanut palm tree,1.31,23,2.46,41.2
Arecanut palm tree,1.62,24,2.47,41.3
Christmas palm tree,2.39,107,1.43,34.8
Macarthuri feather palm tree,1.81,41,6.59,48.3
Arecanut palm tree,1.73,26,2.48,41.4
Christmas palm tree,3.26,101,1.42,34.9
Arecanut palm tree,1.89,25,2.49,41.5
Macarthuri feather palm tree,1.88,41,6.54,49.2
Arecanut palm tree,1.52,26,2.5,41.6
Arecanut palm tree,1.65,26,2.51,41.7
Christmas palm tree,2.63,106,1.41,34
Macarthuri feather palm tree,1.93,46,6.76,49.3
Arecanut palm tree,1.58,27,2.52,41.8
Macarthuri feather palm tree,2.05,47,6.65,49.2
Christmas palm tree,2.55,102,1.4,33.1
Arecanut palm tree,1.95,26,2.53,41.9
Christmas palm tree,2.87,103,1.46,33.2
Macarthuri feather palm tree,2.72,41,8,47.3
Macarthuri feather palm tree,2.33,42,6.87,47.9
Arecanut palm tree,1.77,25,2.54,43.8
Arecanut palm tree,1.39,23,2.55,43.8
Arecanut palm tree,1.62,24,2.56,43.2
Macarthuri feather palm tree,1.97,41,6.52,49.3
Arecanut palm tree,1.69,25,2.57,42.5
Arecanut palm tree,1.81,26,2.58,42.7
Macarthuri feather palm tree,1.93,41,6.37,49.3
Arecanut palm tree,1.73,23,2.59,43.2
Macarthuri feather palm tree,2.11,44,6.65,48.9
Arecanut palm tree,1.88,22,2.6,43.9
Christmas palm tree,3.38,105,1.34,33.3
Arecanut palm tree,1.95,21,2.61,43.2
Macarthuri feather palm tree,2.21,41,8,47.9
Christmas palm tree,2.47,100,1.45,33.4
Arecanut palm tree,1.75,25,2.62,43.9
Christmas palm tree,3.15,101,1.42,33.4
Arecanut palm tree,1.31,24,2.63,42.9
Macarthuri feather palm tree,1.98,41,6.66,48
Christmas palm tree,2.78,104,1.23,33.5
Arecanut palm tree,1.65,23,2.64,4.43
Arecanut palm tree,1.89,24,2.65,4.32
Macarthuri feather palm tree,1.86,45,6.92,48
Arecanut palm tree,1.74,24,2.66,43.2
Christmas palm tree,2.79,104,1.32,33.6
Arecanut palm tree,2.39,25,2.67,42.2
Macarthuri feather palm tree,2.63,41,6.72,49.1
Arecanut palm tree,1.52,26,2.68,42.1
Christmas palm tree,2.87,105,1.42,33.7
Arecanut palm tree,1.58,26,2.69,41.2
Arecanut palm tree,1.62,27,2.7,41.9
Macarthuri feather palm tree,1.97,41,6.54,49.2
Arecanut palm tree,1.77,25,2.71,43.9
Macarthuri feather palm tree,2.33,41,6.91,49.3
Arecanut palm tree,1.69,27,2.43,43.2
Macarthuri feather palm tree,2.05,41,6.92,49.4
Christmas palm tree,3.26,27,1.43,33.8
Arecanut palm tree,1.93,24,2.44,43.1
Macarthuri feather palm tree,1.95,41,9.65,49.5
Macarthuri feather palm tree,1.81,42,6.98,49.6
Arecanut palm tree,1.75,23,2.45,43.8
Arecanut palm tree,1.88,24,2.46,42.8
Christmas palm tree,2.21,109,1.76,33.9
Macarthuri feather palm tree,2.11,41,8,49.7
Macarthuri feather palm tree,1.65,41,8,49.8
Arecanut palm tree,1.31,23,2.47,43.8
Arecanut palm tree,1.39,25,2.48,43.9
Arecanut palm tree,1.74,26,2.49,42.9
Arecanut palm tree,1.62,21,2.31,42.7
Macarthuri feather palm tree,1.89,43,6.48,49.6
Christmas palm tree,2.78,105,1.65,33
Macarthuri feather palm tree,2.55,41,6.78,48.9
Arecanut palm tree,1.93,23,2.33,41.7
Macarthuri feather palm tree,2.33,45,6.76,48.3
Macarthuri feather palm tree,1.97,42,6.78,48.9
Arecanut palm tree,1.75,27,2.34,43.3
Christmas palm tree,2.47,105,1.54,32
Macarthuri feather palm tree,1.81,45,6.67,47.1
Arecanut palm tree,1.58,23,2.35,43.8
Arecanut palm tree,1.77,21,2.36,42.9
Christmas palm tree,2.39,103,1.56,32.1
Arecanut palm tree,1.69,25,2.37,41.8
Macarthuri feather palm tree,2.63,41,6.27,47.2
Arecanut palm tree,1.62,27,2.21,43.9
Macarthuri feather palm tree,2.05,43,6.36,47.3
Arecanut palm tree,1.98,23,2.22,42.9
Arecanut palm tree,1.65,21,2.32,41.9
Christmas palm tree,2.87,104,1.76,32.2
Arecanut palm tree,1.95,25,2.31,43.6
Macarthuri feather palm tree,2.72,41,654,47.4
Christmas palm tree,3.38,104,1.76,32.3
Arecanut palm tree,1.81,23,2.31,42.6
Macarthuri feather palm tree,1.93,41,6.72,47.5
Arecanut palm tree,2.11,25,2.32,41.6
Macarthuri feather palm tree,2.21,42,6.66,47.4
Arecanut palm tree,1.69,25,2.33,43.5
Arecanut palm tree,1.62,23,2.34,42.5
Macarthuri feather palm tree,1.97,41,6.53,47.5
Arecanut palm tree,1.88,26,2.35,41.5
Christmas palm tree,2.55,105,1.65,32.4
Macarthuri feather palm tree,2.39,41,6.24,47.6
Arecanut palm tree,1.75,23,2.36,43.4
Arecanut palm tree,1.77,21,2.37,42.4
Macarthuri feather palm tree,1.81,42,6.12,47.8
Arecanut palm tree,1.95,24,2.38,41.4
Macarthuri feather palm tree,2.05,45,8,47.9
Macarthuri feather palm tree,1.98,43,6.98,47.2
Arecanut palm tree,1.65,26,2.3,43.3
Arecanut palm tree,2.47,23,2.39,42.3
Christmas palm tree,2.63,103,1.65,32.4
Macarthuri feather palm tree,1.93,41,6.37,48.1
Arecanut palm tree,1.69,23,2.4,41.3
Christmas palm tree,3.26,102,1.55,32.5
Arecanut palm tree,2.33,26,2.41,43.2
Macarthuri feather palm tree,1.89,43,6.34,48.2
Christmas palm tree,2.78,100,1.44,32.6
Arecanut palm tree,1.74,23,2.42,42.2
Christmas palm tree,2.87,104,1.33,32.7
Macarthuri feather palm tree,1.62,45,6.66,48.3
Arecanut palm tree,1.58,21,2.43,41.2
Macarthuri feather palm tree,1.97,46,6.45,48.4
Arecanut palm tree,1.31,23,2.44,43.1
Macarthuri feather palm tree,2.21,46,6.23,48.5
Arecanut palm tree,1.75,26,2.45,42.1
Arecanut palm tree,1.77,25,2.46,41.1
Macarthuri feather palm tree,1.81,45,6.66,48.6
Arecanut palm tree,1.93,27,2.47,43
Arecanut palm tree,1.69,26,2.48,43.9
Macarthuri feather palm tree,1.88,46,6.54,47.9
Christmas palm tree,2.11,105,1.22,32.8
Arecanut palm tree,1.95,23,2.49,42.9
Arecanut palm tree,1.65,21,2.5,42.9
Macarthuri feather palm tree,2.39,45,6.34,47.1
Arecanut palm tree,1.62,25,2.51,41.9
Macarthuri feather palm tree,1.98,41,6.65,47.2
Arecanut palm tree,1.62,26,2.52,43.8
Macarthuri feather palm tree,1.97,42,6.43,47.3
Christmas palm tree,2.63,105,1.11,32.8
Arecanut palm tree,1.81,23,2.53,42.8
Macarthuri feather palm tree,2.05,42,6.98,47.9
Arecanut palm tree,1.69,25,2.54,41.8
Macarthuri feather palm tree,1.75,45,6.52,48.9
Arecanut palm tree,1.89,26,2.56,43.7
Christmas palm tree,2.47,105,1.23,32.9
Arecanut palm tree,1.93,23,2.57,42.7
Macarthuri feather palm tree,2.33,43,6.78,48.1
Christmas palm tree,2.55,104,1.21,32
Arecanut palm tree,1.77,23,2.41,41.7
Christmas palm tree,2.78,101,1.56,31.1
Macarthuri feather palm tree,1.95,45,6.66,48.2
Arecanut palm tree,1.74,21,2.32,43.6
Christmas palm tree,2.87,104,1.35,32.2
Arecanut palm tree,1.31,25,2.36,42.6
Arecanut palm tree,1.58,24,2.56,41.6
Christmas palm tree,3.26,105,1.89,31.2
Macarthuri feather palm tree,2.21,41,6.54,48.4
Arecanut palm tree,1.62,26,2.61,43.5
Arecanut palm tree,1.69,25,2.42,42.5
Macarthuri feather palm tree,1.97,45,6.87,48.9
Arecanut palm tree,1.81,23,2.32,41.5
Christmas palm tree,2.39,105,1.36,31.3
Macarthuri feather palm tree,1.98,41,6.31,48.4
Arecanut palm tree,1.65,25,0.98,43.3
Arecanut palm tree,1.75,24,0.92,42.3
Macarthuri feather palm tree,2.05,41,6.55,49.3
Arecanut palm tree,1.88,23,0.32,41.3
Arecanut palm tree,1.62,22,0.48,43.2
Macarthuri feather palm tree,1.93,44,6.45,48
Christmas palm tree,2.11,104,1.78,31.4
Arecanut palm tree,1.77,21,0.87,42.2
Christmas palm tree,2.63,102,1.56,31.5
Macarthuri feather palm tree,2.47,44,8,48.2
Arecanut palm tree,1.95,23,0.87,41.2
Macarthuri feather palm tree,2.33,43,8,49.4
Arecanut palm tree,1.69,21,0.81,43.1
Christmas palm tree,2.78,105,1.65,31.5
Macarthuri feather palm tree,1.81,45,6.78,48
Christmas palm tree,2.87,101,1.67,31.6
Arecanut palm tree,1.62,23,0.78,42.1
Macarthuri feather palm tree,1.98,43,6.54,48.3
Arecanut palm tree,1.75,21,0.77,41.1
Christmas palm tree,2.55,102,1.34,31.8
Arecanut palm tree,1.89,21,0.87,43.8
Macarthuri feather palm tree,1.93,44,6.43,48.5
Arecanut palm tree,1.65,25,0.78,42.8
Macarthuri feather palm tree,1.81,43,6.77,48.7
Arecanut palm tree,1.69,23,0.79,41.8
Macarthuri feather palm tree,1.97,44,6.23,48.2
Christmas palm tree,2.05,103,1.87,32.4
Arecanut palm tree,1.75,23,0.89,43.7
Macarthuri feather palm tree,1.95,44,6.34,48.4
Arecanut palm tree,1.88,25,0.69,42.7
Christmas palm tree,2.39,104,1.56,32.6
Arecanut palm tree,1.62,26,0.88,41.7
Macarthuri feather palm tree,1.77,41,6.45,48.3
Christmas palm tree,2.11,105,1.45,33.4
Arecanut palm tree,2.47,26,0.99,43.6
Christmas palm tree,2.63,106,1.34,32.5
Macarthuri feather palm tree,1.98,44,8,48.2
Arecanut palm tree,1.93,27,0.5,42.6
Macarthuri feather palm tree,1.81,41,8,49.3
Arecanut palm tree,1.69,25,0.79,41.6
Arecanut palm tree,1.97,26,2.33,43.5
Christmas palm tree,2.33,107,1.78,32.6
Macarthuri feather palm tree,1.95,45,6.66,47.3
Arecanut palm tree,1.65,21,2.56,42.5
Christmas palm tree,2.78,100,1.45,32.5
Arecanut palm tree,1.75,26,2.45,41.5
Macarthuri feather palm tree,2.05,48,6.76,49.3
Arecanut palm tree,1.62,25,2.9,43.4
Arecanut palm tree,2.21,26,2.82,42.4
Macarthuri feather palm tree,1.88,41,6.98,48.5
Arecanut palm tree,1.77,26,2.33,41.4
Christmas palm tree,2.55,101,1.34,31.4
Arecanut palm tree,1.62,26,2.45,43.7
Christmas palm tree,2.87,102,1.45,32.5
Macarthuri feather palm tree,1.93,41,6.41,49
Arecanut palm tree,1.81,26,2.76,42.7
Macarthuri feather palm tree,1.69,41,6.34,48.1
Arecanut palm tree,1.97,25,2.45,41.6
Macarthuri feather palm tree,2.11,46,6.56,48.3
Arecanut palm tree,1.75,21,2.87,43.1
Macarthuri feather palm tree,1.98,44,6.32,47.9
Christmas palm tree,2.39,103,1.23,32
Arecanut palm tree,1.65,25,2.45,42.3
Macarthuri feather palm tree,2.47,45,6.45,47.9
Christmas palm tree,2.63,104,1.56,33
Macarthuri feather palm tree,1.95,42,6.67,48.8
Arecanut palm tree,1.88,22,2.78,41.2
Arecanut palm tree,1.93,21,0.99,43.3
Arecanut palm tree,1.77,23,0.59,42.2
Macarthuri feather palm tree,1.81,44,6.33,48.1
Christmas palm tree,2.33,104,1.54,31
Arecanut palm tree,1.62,23,0.87,41.1
Macarthuri feather palm tree,1.69,44,6.33,48
